"","bathrm","hf_bathrm","heat","ac","rooms","bedrm","ayb","yr_rmdl","eyb","stories","saledate","price","gba","style","grade","extwall","kitchens","fireplaces","landarea"
"176",2,0,"Hot Water Rad","N",7,3,1921,NA,1961,1,"2000-11-09 00:00:00",128400,1163,"1.5 Story Fin","Average","Wood Siding",1,0,5306
"177",1,0,"Warm Cool","Y",6,3,1922,NA,1954,1,"2017-06-28 00:00:00",574700,971,"1 Story","Average","Wood Siding",1,0,4600
"178",1,1,"Forced Air","Y",7,4,1922,NA,1961,1,"2016-05-05 00:00:00",596100,1180,"1 Story","Average","Wood Siding",1,0,4600
"179",3,0,"Forced Air","Y",5,4,1922,2011,1964,1,"2014-10-03 00:00:00",615600,971,"1 Story","Average","Metal Siding",1,0,4470
"180",2,1,"Hot Water Rad","Y",8,4,1930,NA,1967,2,"2016-05-13 00:00:00",685600,1350,"2 Story","Above Average","Wood Siding",1,0,4313
"181",2,1,"Hot Water Rad","Y",8,3,1925,2015,1969,2,"2016-07-18 00:00:00",940000,2323,"Bi-Level","Good Quality","Stucco",1,0,7000
"182",1,1,"Hot Water Rad","Y",7,3,1937,1955,1957,2,"2002-06-19 00:00:00",218700,1449,"2 Story","Above Average","Common Brick",1,1,4500
"183",2,0,"Forced Air","Y",10,5,1925,2006,1967,2.5,"2010-08-31 00:00:00",555800,2442,"2.5 Story Fin","Above Average","Vinyl Siding",1,1,7100
"184",3,0,"Forced Air","Y",6,3,1925,2011,1967,1.5,"2014-06-12 00:00:00",619700,1040,"1.5 Story Fin","Above Average","Shingle",1,1,3876
"185",1,2,"Hot Water Rad","N",7,2,1925,NA,1958,1,"2003-05-09 00:00:00",237200,1289,"1 Story","Average","Vinyl Siding",1,1,2856
"186",5,0,"Forced Air","Y",9,5,1934,2005,1967,2,"2015-12-08 00:00:00",858300,3016,"2 Story","Above Average","Common Brick",1,1,5646
"187",2,2,"Warm Cool","Y",9,4,1898,2007,1954,2,"2002-04-03 00:00:00",199100,1907,"2 Story","Average","Wood Siding",1,0,4500
"188",2,0,"Hot Water Rad","N",5,2,1900,2012,1964,2,"2012-08-23 00:00:00",386100,1112,"2 Story","Average","Vinyl Siding",1,1,3000
"189",2,0,"Forced Air","N",9,4,1910,2007,1967,2.5,"2014-06-20 00:00:00",762500,1728,"2.5 Story Fin","Above Average","Vinyl Siding",1,0,7500
"190",1,0,"Hot Water Rad","N",6,2,1916,2012,1964,1,"2012-11-16 00:00:00",427800,1105,"1 Story","Average","Shingle",1,1,5120
"191",3,1,"Forced Air","Y",10,5,1923,2017,1967,1,"2015-11-12 00:00:00",598800,1854,"1 Story","Above Average","Hardboard",2,0,6400
"192",2,1,"Hot Water Rad","N",6,3,1916,NA,1960,1.5,"2000-12-15 00:00:00",193600,1382,"1.5 Story Fin","Above Average","Stone",1,1,5760
"193",1,1,"Hot Water Rad","Y",7,3,1923,NA,1964,2,"2017-04-28 00:00:00",695200,1152,"2 Story","Above Average","Aluminum",1,0,6210
"194",2,0,"Warm Cool","Y",8,3,1905,NA,1947,2.5,"2000-04-11 00:00:00",253600,3132,"2.5 Story Fin","Above Average","Shingle",1,1,7500
"195",3,0,"Hot Water Rad","N",10,4,1900,NA,1950,2.5,"2004-08-16 00:00:00",544900,2676,"2.5 Story Unfin","Good Quality","Shingle",1,1,7500
"196",4,1,"Hot Water Rad","Y",11,6,1900,2010,1969,2.5,"2017-05-01 00:00:00",984700,3156,"2.5 Story Fin","Good Quality","Stucco",1,1,6000
"197",2,1,"Hot Water Rad","Y",7,4,1915,2014,1967,2.5,"2014-12-08 00:00:00",737100,2100,"2.5 Story Fin","Above Average","Stucco",1,1,6350
"198",2,0,"Hot Water Rad","Y",8,3,1935,2018,1969,1.75,"2018-04-25 00:00:00",745200,1397,"2 Story","Good Quality","Brick/Stucco",1,1,7500
"199",2,1,"Forced Air","Y",8,4,1926,2013,1967,2,"2014-02-24 00:00:00",657800,1880,"2 Story","Above Average","Common Brick",1,1,4888
"200",3,1,"Forced Air","Y",8,4,2015,NA,2016,2,"2018-01-04 00:00:00",881200,2022,"2 Story","Above Average","Common Brick",1,0,4160
"201",3,1,"Forced Air","Y",8,4,1920,2015,1984,2,"2015-05-13 00:00:00",880000,1408,"2 Story","Above Average","Hardboard",1,1,6450
"202",3,1,"Forced Air","Y",5,5,1926,2012,1964,2,"2012-12-11 00:00:00",536600,1826,"2 Story","Average","Common Brick",1,3,4484
"203",2,0,"Hot Water Rad","Y",6,3,1937,2014,1967,2,"2014-12-15 00:00:00",560100,1302,"2 Story","Above Average","Common Brick",1,2,2592
"204",1,1,"Warm Cool","Y",7,4,1938,NA,1957,2,"2004-03-30 00:00:00",355100,1416,"2 Story","Above Average","Common Brick",1,1,3134
"205",2,2,"Warm Cool","Y",6,4,1939,2005,1967,2,"2014-01-08 00:00:00",530100,1750,"2 Story","Above Average","Common Brick",1,0,3131
"206",3,1,"Forced Air","Y",10,4,1910,2017,1967,2.5,"2018-04-18 00:00:00",1019800,2946,"2.5 Story Unfin","Above Average","Stucco",1,0,6350
"207",3,1,"Forced Air","Y",6,3,1927,2007,1964,2,"2007-07-25 00:00:00",599800,1540,"2 Story","Average","Stone/Stucco",1,1,4128
"208",2,0,"Hot Water Rad","Y",11,4,1938,2012,1957,2,"2015-11-10 00:00:00",491600,1764,"2 Story","Average","Common Brick",1,0,3138
"209",2,1,"Warm Cool","Y",4,3,1956,2015,1976,1,"2015-07-06 00:00:00",498400,1120,"1 Story","Above Average","Common Brick",1,1,5887
"210",1,1,"Hot Water Rad","N",8,3,1927,1966,1950,2,"2002-01-10 00:00:00",178500,1496,"2 Story","Average","Aluminum",1,1,4128
"211",2,1,"Hot Water Rad","N",6,4,1926,1979,1957,2,"2017-05-19 00:00:00",628500,2112,"2 Story","Above Average","Wood Siding",1,1,4223
"212",3,1,"Forced Air","Y",7,4,1925,2013,1967,2.5,"2014-04-11 00:00:00",684600,2011,"2.5 Story Fin","Above Average","Common Brick",1,1,4725
"213",2,1,"Hot Water Rad","N",14,5,1916,NA,1969,2.5,"2017-03-03 00:00:00",855300,3058,"2.5 Story Fin","Good Quality","Stucco",1,1,10127
"214",3,1,"Forced Air","Y",8,3,1923,2015,1980,2,"2017-06-12 00:00:00",939600,1963,"2 Story","Above Average","Wood Siding",1,0,6750
"215",3,0,"Forced Air","Y",6,3,1938,2016,1967,2,"2017-08-02 00:00:00",696300,1796,"2 Story","Above Average","Common Brick",1,1,4217
"216",3,1,"Forced Air","Y",8,4,1908,2004,1967,2.5,"2005-07-05 00:00:00",607600,2977,"2.5 Story Fin","Above Average","Vinyl Siding",1,0,7500
"217",3,1,"Forced Air","Y",10,4,1920,2016,1967,2,"2016-08-17 00:00:00",862400,2032,"2 Story","Above Average","Hardboard",1,0,6750
"218",2,0,"Hot Water Rad","Y",6,3,1917,2012,1964,1.5,"2012-03-29 00:00:00",424300,1534,"1.5 Story Fin","Average","Shingle",1,1,7100
"219",3,1,"Forced Air","Y",6,3,1960,2012,1978,2,"2015-11-09 00:00:00",680600,1271,"2 Story","Above Average","Common Brick",1,0,3124
"220",2,0,"Hot Water Rad","N",10,4,1890,NA,1950,2,"2005-07-22 00:00:00",499700,1462,"2 Story","Good Quality","Shingle",1,1,7500
"221",3,0,"Hot Water Rad","N",9,5,1905,NA,1967,2,"2016-03-04 00:00:00",720900,2376,"2 Story","Above Average","Vinyl Siding",1,0,7500
"222",1,1,"Hot Water Rad","N",9,4,1928,NA,1950,2,"2002-09-30 00:00:00",254300,2108,"2 Story","Above Average","Common Brick",1,1,7500
"223",6,1,"Forced Air","Y",12,8,1900,2014,1984,2,"2016-09-07 00:00:00",1466800,3726,"2 Story","Above Average","Stucco",2,2,10200
"224",2,0,"Forced Air","Y",7,4,1910,2011,1964,2,"2012-04-24 00:00:00",205800,1456,"2 Story","Average","Vinyl Siding",1,0,1333
"225",1,0,"Forced Air","Y",5,2,1910,2008,1964,2,"2016-06-27 00:00:00",333300,952,"2 Story","Average","Vinyl Siding",1,0,3600
"226",2,1,"Forced Air","Y",6,3,1905,2012,1964,2,"2018-07-02 00:00:00",562500,1536,"2 Story","Average","Brick/Siding",1,0,3600
"227",4,1,"Hot Water Rad","N",11,7,1924,NA,1960,2.5,"2013-05-30 00:00:00",669300,3796,"2.5 Story Fin","Good Quality","Common Brick",1,1,7600
"228",2,0,"Warm Cool","Y",6,3,1956,NA,1965,1,"2007-06-28 00:00:00",377400,1189,"1 Story","Average","Common Brick",1,0,6291
"229",1,0,"Hot Water Rad","N",7,3,1923,2009,1964,1,"2014-11-25 00:00:00",550100,1440,"1 Story","Average","Aluminum",1,0,4800
"230",2,0,"Hot Water Rad","N",6,4,1923,2008,1967,1.5,"2008-04-28 00:00:00",501200,1155,"1.5 Story Fin","Above Average","Vinyl Siding",1,1,6750
"231",2,0,"Hot Water Rad","Y",7,3,1923,1970,1957,1.5,"2003-08-19 00:00:00",259600,1170,"1.5 Story Fin","Above Average","Shingle",1,1,4000
"232",1,2,"Warm Cool","Y",8,3,1910,2002,1957,2,"2012-07-16 00:00:00",438800,1763,"2 Story","Above Average","Shingle",1,1,2458
"233",2,0,"Hot Water Rad","N",6,3,1937,NA,1957,1.5,"2003-10-30 00:00:00",301900,1426,"1.5 Story Fin","Above Average","Common Brick",1,1,5179
"234",4,1,"Forced Air","Y",10,5,2013,NA,2015,2,"2013-07-24 00:00:00",882500,3240,"2 Story","Above Average","Hardboard",1,1,6954
"235",1,2,"Hot Water Rad","N",7,3,1938,NA,1960,2,"2017-04-06 00:00:00",550700,1540,"2 Story","Good Quality","Common Brick",1,2,4520
"236",2,1,"Ht Pump","N",8,4,1938,NA,1960,2.5,"2004-07-22 00:00:00",387900,1920,"2.5 Story Fin","Good Quality","Common Brick",1,1,4440
"237",3,1,"Hot Water Rad","Y",8,3,1914,2007,1967,2,"2012-08-23 00:00:00",615000,1740,"2 Story","Above Average","Stucco",2,1,5000
"238",2,1,"Hot Water Rad","N",5,3,1919,2008,1964,1,"2017-06-13 00:00:00",722500,990,"1 Story","Average","Shingle",1,0,5400
"239",1,0,"Forced Air","N",5,2,1909,2006,1964,2,"2006-07-11 00:00:00",245800,889,"2 Story","Average","Vinyl Siding",1,0,1800
"240",2,1,"Forced Air","Y",6,3,1900,2013,1964,2,"2014-11-14 00:00:00",336700,1272,"2 Story","Average","Vinyl Siding",1,1,1509
"241",2,0,"Hot Water Rad","N",7,3,1939,NA,1947,2,"2016-03-08 00:00:00",518400,1618,"2 Story","Above Average","Common Brick",1,1,4440
"242",3,1,"Forced Air","Y",10,5,1937,2008,1969,2,"2005-03-23 00:00:00",570400,2876,"2 Story","Good Quality","Common Brick",1,1,6962
"243",2,0,"Warm Cool","Y",7,3,1929,NA,1950,2,"2000-09-11 00:00:00",192600,1772,"2 Story","Good Quality","Stucco",1,1,4589
"244",2,1,"Hot Water Rad","Y",8,3,1935,NA,1967,2,"2015-06-26 00:00:00",752100,1458,"2 Story","Good Quality","Brick Veneer",1,1,4604
"245",3,0,"Warm Cool","Y",6,3,1919,2004,1964,1.5,"2012-11-23 00:00:00",532500,1379,"1.5 Story Fin","Average","Vinyl Siding",1,0,5400
"246",2,2,"Hot Water Rad","N",5,2,1919,NA,1954,1,"2018-05-29 00:00:00",778600,1610,"1.5 Story Fin","Average","Vinyl Siding",1,0,5400
"247",1,0,"Hot Water Rad","N",6,3,1919,NA,1957,2,"2017-11-02 00:00:00",558200,1372,"2 Story","Above Average","Stucco",1,0,3742
"248",1,1,"Hot Water Rad","Y",7,3,1921,NA,1967,2,"2017-01-18 00:00:00",636700,1504,"2 Story","Above Average","Vinyl Siding",1,1,4311
"249",3,1,"Forced Air","Y",7,4,1921,2015,1967,2,"2015-09-24 00:00:00",771700,2024,"2 Story","Above Average","Wood Siding",1,1,4211
"250",2,0,"Hot Water Rad","N",7,2,1937,NA,1967,2,"2004-10-21 00:00:00",281900,1357,"2 Story","Above Average","Common Brick",1,1,4320
"251",2,1,"Forced Air","Y",7,4,1937,2004,1961,1.25,"2016-07-13 00:00:00",487300,1157,"1 Story","Average","Aluminum",2,0,4893
"252",1,0,"Forced Air","Y",5,3,1900,NA,1961,2,"2001-09-24 00:00:00",111900,1140,"2 Story","Average","Common Brick",1,0,3047
"253",3,0,"Ht Pump","Y",6,4,1908,2008,1964,2,"2015-11-02 00:00:00",384800,1014,"2 Story","Average","Vinyl Siding",1,1,2411
"254",2,1,"Forced Air","Y",6,3,1905,2016,1967,2,"2016-10-17 00:00:00",499000,972,"2 Story","Above Average","Vinyl Siding",1,1,2250
"255",2,0,"Hot Water Rad","N",9,4,1909,1990,1957,2,"2004-01-08 00:00:00",192400,1304,"2 Story","Above Average","Vinyl Siding",1,1,3000
"256",2,1,"Hot Water Rad","Y",6,3,1925,2012,1967,2,"2016-09-08 00:00:00",650300,1328,"2 Story","Above Average","Stucco",1,1,4089
"257",4,1,"Forced Air","Y",10,5,1940,2017,1984,2,"2018-04-24 00:00:00",1143800,2772,"2 Story","Above Average","Common Brick",1,2,4089
"258",2,1,"Hot Water Rad","Y",6,3,1947,NA,1969,2,"2003-06-06 00:00:00",322900,1458,"2 Story","Above Average","Common Brick",1,1,6370
"259",2,1,"Forced Air","Y",7,3,1937,2012,1964,2.5,"2012-04-17 00:00:00",511400,1740,"2.5 Story Fin","Average","Common Brick",1,1,4725
"260",1,0,"Hot Water Rad","N",7,4,1900,1970,1954,2,"2016-07-07 00:00:00",561600,1590,"2 Story","Above Average","Wood Siding",1,1,5311
"261",3,1,"Forced Air","Y",7,5,1926,2013,1969,2,"2013-09-06 00:00:00",793100,1696,"2 Story","Good Quality","Wood Siding",1,1,10048
"262",2,1,"Warm Cool","Y",6,3,1938,NA,1950,2,"2016-09-06 00:00:00",595600,1344,"2 Story","Good Quality","Common Brick",1,1,7500
"263",3,0,"Forced Air","Y",7,4,1915,2002,1967,2,"2004-10-29 00:00:00",428600,2160,"2 Story","Above Average","Vinyl Siding",1,0,7500
"264",1,1,"Forced Air","Y",6,3,1928,2012,1964,2,"2017-01-11 00:00:00",405300,1160,"2 Story","Average","Common Brick",1,0,2844
"265",2,1,"Forced Air","Y",6,4,1928,2011,1969,2.25,"2011-05-10 00:00:00",482200,1672,"2 Story","Good Quality","Common Brick",1,1,2456
"266",2,1,"Hot Water Rad","N",6,3,1933,NA,1957,2,"2002-07-09 00:00:00",239200,1678,"2 Story","Above Average","Common Brick",1,0,4632
"267",2,1,"Hot Water Rad","N",8,3,1935,1974,1947,2,"1994-07-06 00:00:00",187200,1765,"2 Story","Above Average","Stone",1,1,7475
"268",2,1,"Forced Air","Y",7,3,1937,2013,1967,2,"2017-07-24 00:00:00",724100,1760,"2 Story","Above Average","Common Brick",1,2,5479
"269",1,0,"Warm Cool","Y",5,1,1934,NA,1950,1.25,"1995-04-12 00:00:00",143400,1387,"1.5 Story Fin","Average","Common Brick",1,1,4604
"270",3,1,"Forced Air","Y",8,4,1936,2015,1967,2,"2016-06-07 00:00:00",709700,1886,"2 Story","Above Average","Common Brick",1,2,7548
"271",4,0,"Hot Water Rad","N",9,6,1936,NA,1967,2,"2014-02-07 00:00:00",563200,2096,"2 Story","Above Average","Common Brick",1,2,6347
"272",3,1,"Forced Air","Y",6,4,1935,2016,1967,2,"2016-09-20 00:00:00",704400,1595,"2 Story","Above Average","Common Brick",1,1,4360
"273",2,2,"Hot Water Rad","N",6,3,1935,2012,1967,2,"2015-10-13 00:00:00",588100,1738,"2 Story","Above Average","Common Brick",1,1,4360
"274",2,1,"Hot Water Rad","N",6,3,1935,1989,1957,2,"2010-07-26 00:00:00",349400,1350,"2 Story","Above Average","Common Brick",1,2,4360
"275",2,1,"Hot Water Rad","Y",6,3,1936,2005,1980,2,"2010-03-09 00:00:00",548200,1872,"2 Story","Above Average","Common Brick",1,1,9120
"276",2,2,"Warm Cool","Y",8,4,1937,1990,1957,2.5,"1998-08-27 00:00:00",199400,2173,"2.5 Story Fin","Above Average","Common Brick",1,2,6619
"277",1,0,"Warm Cool","Y",6,3,1940,NA,1957,2,"2017-06-12 00:00:00",449800,1232,"2 Story","Above Average","Common Brick",1,1,4268
"278",1,1,"Warm Cool","Y",7,3,1940,2010,1967,2,"2011-06-03 00:00:00",374400,1260,"2 Story","Above Average","Common Brick",1,1,4280
"279",2,1,"Warm Cool","Y",6,3,1940,2010,1967,2,"2016-06-13 00:00:00",565000,1544,"2 Story","Above Average","Common Brick",1,1,4173
"280",2,1,"Warm Cool","Y",6,3,1951,1979,1972,2,"2018-03-29 00:00:00",573200,1400,"2 Story","Above Average","Common Brick",1,1,4334
"281",2,0,"Hot Water Rad","N",6,3,1951,NA,1972,2,"2007-06-07 00:00:00",444900,1400,"2 Story","Above Average","Common Brick",1,1,4334
"282",2,0,"Warm Cool","Y",6,3,1951,NA,1961,2,"1995-06-02 00:00:00",169000,1400,"2 Story","Above Average","Common Brick",1,1,4334
"283",1,0,"Hot Water Rad","N",6,3,1927,NA,1957,2,"1992-05-15 00:00:00",120100,1380,"2 Story","Above Average","Vinyl Siding",1,1,3318
"284",2,0,"Hot Water Rad","N",8,3,1918,1989,1954,2,"1992-07-31 00:00:00",118700,1296,"2 Story","Average","Aluminum",1,1,2192
"285",3,0,"Hot Water Rad","Y",6,2,1909,2016,1964,9,"2016-08-26 00:00:00",545100,1219,"Default","Average","Stucco",1,1,2235
"286",2,1,"Warm Cool","Y",7,3,1941,NA,1957,2,"2014-07-10 00:00:00",412600,1344,"2 Story","Above Average","Common Brick",1,1,5341
"287",2,1,"Warm Cool","Y",6,3,1941,NA,1957,2,"2015-09-18 00:00:00",507400,1344,"2 Story","Above Average","Common Brick",1,1,5341
"288",2,0,"Hot Water Rad","N",6,3,1925,2007,1964,1.5,"2012-06-28 00:00:00",406600,1425,"1.5 Story Fin","Average","Vinyl Siding",1,0,4800
"289",3,1,"Ht Pump","Y",5,3,1925,2012,1964,1,"2012-01-19 00:00:00",466900,1500,"1 Story","Average","Stucco",1,0,3169
"290",3,1,"Forced Air","Y",12,6,1917,2014,1964,2,"2014-12-08 00:00:00",928200,2494,"2 Story","Average","Hardboard",1,0,7849
"291",1,1,"Hot Water Rad","Y",7,2,1905,1925,1957,2,"2010-04-07 00:00:00",429100,1749,"2 Story","Above Average","Shingle",1,1,5875
"292",3,0,"Forced Air","Y",8,4,1956,2016,1973,1,"2016-06-20 00:00:00",725400,1404,"1 Story","Average","Common Brick",1,1,5809
"293",2,1,"Forced Air","Y",8,3,1982,NA,1987,1,"1997-09-12 00:00:00",160900,1155,"Split Foyer","Average","Common Brick",1,1,7508
"294",3,0,"Forced Air","Y",5,4,1922,2004,1964,1.25,"2004-04-09 00:00:00",306200,1055,"1.5 Story Fin","Average","Wood Siding",1,1,2443
"295",3,1,"Ht Pump","Y",8,5,1911,2013,1964,2,"2014-10-28 00:00:00",500300,2211,"2 Story","Average","Aluminum",1,1,3791
"296",4,1,"Forced Air","Y",9,6,1905,2010,1964,2.5,"2011-12-30 00:00:00",450800,2860,"2.5 Story Fin","Average","Vinyl Siding",2,0,3500
"297",3,1,"Forced Air","Y",6,3,1914,2014,1967,2,"2015-01-13 00:00:00",622500,1728,"2 Story","Above Average","Vinyl Siding",1,0,4025
"298",3,0,"Forced Air","Y",8,3,1941,2016,1967,2,"2017-04-13 00:00:00",669400,1604,"2 Story","Above Average","Brick Veneer",1,1,3583
"299",3,0,"Warm Cool","Y",6,3,1941,NA,1957,2,"2013-12-13 00:00:00",437400,1344,"2 Story","Above Average","Common Brick",1,1,4643
"300",3,1,"Forced Air","Y",10,5,1941,2015,1967,2,"2016-04-14 00:00:00",749900,2464,"2 Story","Above Average","Common Brick",1,1,5880
"301",4,0,"Forced Air","Y",10,6,1917,2010,1967,2,"2017-04-05 00:00:00",790000,2524,"2 Story","Above Average","Vinyl Siding",1,1,4250
"302",4,1,"Forced Air","Y",8,4,1912,2004,1967,2.25,"2013-09-19 00:00:00",499000,1388,"2 Story","Above Average","Vinyl Siding",1,0,4445
"303",1,0,"Hot Water Rad","N",6,3,1905,NA,1954,2.25,"1994-10-24 00:00:00",127000,2241,"2 Story","Average","Brick/Stucco",1,0,6400
"304",2,1,"Forced Air","Y",8,4,1909,2015,1967,2.25,"2005-03-31 00:00:00",483100,1890,"2 Story","Above Average","Stone Veneer",1,1,6400
"305",2,1,"Forced Air","Y",7,4,1924,2007,1967,2,"2015-10-06 00:00:00",583900,1668,"2 Story","Above Average","Aluminum",1,0,6209
"306",3,1,"Forced Air","Y",8,4,1911,2007,1967,2.5,"2008-06-12 00:00:00",445800,2125,"2.5 Story Fin","Above Average","Vinyl Siding",1,0,4988
"307",2,1,"Warm Cool","Y",6,3,1949,2015,1971,2,"2015-01-22 00:00:00",598300,1745,"2 Story","Above Average","Common Brick",1,1,7791
"308",2,1,"Warm Cool","Y",6,4,1949,2008,1962,2,"2016-10-07 00:00:00",687200,2550,"2 Story","Above Average","Common Brick",1,1,7950
"309",1,0,"Hot Water Rad","N",6,3,1941,NA,1947,2,"1995-11-02 00:00:00",147400,1134,"2 Story","Above Average","Common Brick",1,1,5003
"310",1,0,"Warm Cool","Y",6,3,1941,NA,1947,2,"1997-05-07 00:00:00",153000,1400,"2 Story","Above Average","Common Brick",1,1,4503
"311",1,1,"Hot Water Rad","N",8,3,1900,1980,1954,2,"1995-01-31 00:00:00",119600,1708,"2 Story","Average","Vinyl Siding",1,0,6400
"312",2,1,"Hot Water Rad","N",8,5,1914,NA,1957,2,"2013-06-06 00:00:00",498700,1780,"2 Story","Above Average","Stucco",1,1,6400
"313",4,2,"Forced Air","Y",9,6,1916,NA,1954,2.25,"1996-09-10 00:00:00",138000,2182,"2 Story","Average","Vinyl Siding",1,0,6911
"314",2,1,"Warm Cool","Y",8,3,1946,2004,1960,2.25,"2004-05-26 00:00:00",402800,1624,"2.5 Story Unfin","Above Average","Common Brick",1,2,4300
"315",3,1,"Warm Cool","Y",8,5,1948,2003,1961,2.25,"2002-05-16 00:00:00",239900,2680,"2.5 Story Fin","Above Average","Common Brick",1,2,4300
"316",2,0,"Warm Cool","Y",7,3,1942,NA,1967,2,"2005-03-18 00:00:00",372800,1232,"2 Story","Above Average","Common Brick",1,1,3772
"317",2,1,"Forced Air","Y",6,3,1942,2010,1967,2,"2018-05-14 00:00:00",553100,1328,"2 Story","Above Average","Common Brick",1,1,3772
"318",2,1,"Forced Air","Y",7,4,1925,2005,1967,2.25,"2007-06-11 00:00:00",484000,1915,"2 Story","Above Average","Vinyl Siding",1,1,1800
"319",1,1,"Hot Water Rad","N",6,3,1926,NA,1967,2.25,"1997-07-03 00:00:00",106300,1896,"2.5 Story Unfin","Above Average","Brick/Stucco",1,1,5635
"320",2,0,"Hot Water Rad","N",6,3,1932,NA,1967,2,"2017-05-10 00:00:00",504600,1280,"2 Story","Above Average","Stucco",1,1,5513
"321",3,1,"Forced Air","Y",7,4,1932,2016,1967,2,"2016-05-23 00:00:00",676600,1400,"2 Story","Above Average","Stucco",1,1,4713
"322",3,0,"Forced Air","Y",7,3,1956,2015,1965,1.5,"2017-09-15 00:00:00",617300,1617,"1.5 Story Fin","Average","Common Brick",1,1,5790
"323",3,1,"Forced Air","Y",7,3,1997,2017,2008,2,"2018-03-13 00:00:00",714400,1905,"2 Story","Good Quality","Brick/Siding",1,1,5000
"324",2,1,"Forced Air","Y",7,3,1997,2002,2004,2,"1997-02-25 00:00:00",170700,1426,"2 Story","Good Quality","Brick Veneer",1,1,5000
"325",2,1,"Forced Air","Y",7,3,1997,NA,2004,2,"1998-12-30 00:00:00",189900,2260,"2 Story","Good Quality","Brick Veneer",1,1,6748
"326",2,1,"Forced Air","Y",7,4,1997,NA,2004,2,"1998-06-08 00:00:00",153300,1692,"2 Story","Good Quality","Brick Veneer",1,0,5057
"327",2,1,"Forced Air","Y",7,3,1997,NA,2004,2,"1998-12-17 00:00:00",184100,1678,"2 Story","Good Quality","Brick Veneer",1,1,5128
"328",1,1,"Warm Cool","Y",5,2,1934,1960,1947,1.5,"2003-08-18 00:00:00",210700,872,"1.5 Story Unfin","Above Average","Common Brick",1,1,4200
"329",1,0,"Forced Air","Y",5,3,1934,2008,1967,1.5,"2016-08-16 00:00:00",599600,1227,"1.5 Story Fin","Above Average","Common Brick",1,1,4000
"330",2,0,"Hot Water Rad","Y",7,4,1917,2005,1967,1.5,"2014-06-02 00:00:00",693600,1582,"1.5 Story Fin","Above Average","Shingle",1,1,6750
"331",1,0,"Hot Water Rad","N",7,4,1916,1980,1957,2,"2005-04-20 00:00:00",407300,1676,"2 Story","Above Average","Stucco",1,0,6750
"332",1,0,"Hot Water Rad","N",7,3,1925,NA,1957,2,"2012-06-06 00:00:00",399900,1462,"2 Story","Above Average","Common Brick",1,1,5060
"333",1,1,"Warm Cool","Y",6,3,1958,NA,1964,1,"2016-04-21 00:00:00",410200,1170,"1 Story","Average","Common Brick",1,1,5731
"334",1,1,"Warm Cool","Y",7,3,1961,NA,1961,1,"1993-07-07 00:00:00",157600,1378,"1 Story","Average","Common Brick",1,1,5875
"335",1,1,"Warm Cool","Y",5,3,1961,NA,1961,1,"2001-07-05 00:00:00",192300,1376,"1 Story","Average","Common Brick",1,1,5875
"336",3,1,"Forced Air","Y",7,4,1940,2014,1967,2,"2014-04-11 00:00:00",500100,1120,"2 Story","Above Average","Common Brick",1,1,3101
"337",3,1,"Warm Cool","Y",7,3,1940,1984,1947,2,"1996-07-01 00:00:00",189200,1848,"2 Story","Above Average","Common Brick",1,1,6090
"338",2,1,"Warm Cool","Y",6,3,1957,2014,1974,1,"2014-08-18 00:00:00",385800,1224,"1 Story","Average","Common Brick",1,1,5200
"339",4,1,"Forced Air","Y",9,6,1910,2012,1967,2.25,"2015-08-19 00:00:00",655000,2306,"2 Story","Above Average","Vinyl Siding",2,0,4988
"340",2,1,"Forced Air","Y",6,4,1941,1950,1947,2,"2010-09-21 00:00:00",379700,1548,"2 Story","Above Average","Common Brick",1,1,5775
"341",2,0,"Warm Cool","Y",6,3,1941,2004,1967,2,"1999-05-11 00:00:00",160600,2016,"2 Story","Above Average","Common Brick",1,1,4200
"342",2,1,"Warm Cool","Y",7,3,1941,2007,1967,2,"2002-05-15 00:00:00",240600,1600,"2 Story","Above Average","Common Brick",1,1,5880
"343",1,1,"Warm Cool","Y",7,3,1941,NA,1947,2,"1992-04-02 00:00:00",158200,1344,"2 Story","Above Average","Common Brick",1,1,5880
"344",2,0,"Warm Cool","Y",6,3,1941,2008,1964,2,"2013-11-19 00:00:00",453700,1344,"2 Story","Above Average","Common Brick",1,1,5880
"345",2,1,"Warm Cool","Y",6,3,1941,NA,1957,2,"2010-05-13 00:00:00",356800,1344,"2 Story","Above Average","Common Brick",1,1,5880
"346",1,0,"Warm Cool","Y",8,3,1939,1992,1957,2,"2003-01-08 00:00:00",277800,1334,"2 Story","Above Average","Common Brick",1,1,5610
"347",1,0,"Hot Water Rad","N",8,4,1925,NA,1943,2,"2001-09-13 00:00:00",191800,1342,"2 Story","Average","Vinyl Siding",1,0,5060
"348",1,2,"Warm Cool","Y",7,3,1938,NA,1950,2,"2001-12-17 00:00:00",266000,1754,"2 Story","Good Quality","Common Brick",1,1,7500
"349",1,1,"Forced Air","N",5,2,1949,NA,1959,2,"2007-07-05 00:00:00",371500,1276,"2 Story","Average","Common Brick",1,1,3441
"350",2,1,"Forced Air","Y",6,3,1910,2008,1967,1.75,"2014-07-31 00:00:00",498600,1512,"2 Story","Above Average","Brick/Siding",1,1,4988
"351",2,0,"Warm Cool","Y",6,3,1927,2008,1967,2,"2009-03-06 00:00:00",330200,1284,"2 Story","Above Average","Vinyl Siding",1,1,2640
